     66 | 2017:03:09 - 20:41:19.0512 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |   1506
     67 | 2017:03:09 - 20:41:19.0532 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |     54
     68 | 2017:03:09 - 20:41:19.0562 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |    680
     69 | 2017:03:09 - 20:41:19.0582 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |     66
     70 | 2017:03:09 - 20:41:19.0602 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3981 |                           208.85.40.144 |                                     443 |     66
     71 | 2017:03:09 - 20:41:19.0632 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3980 |     66
     72 | 2017:03:09 - 20:41:19.0672 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |     54
     73 | 2017:03:09 - 20:41:19.0702 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |    292
     74 | 2017:03:09 - 20:41:19.0722 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3981 |     66
     75 | 2017:03:09 - 20:41:19.0752 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3981 |                           208.85.40.144 |                                     443 |     54
     76 | 2017:03:09 - 20:41:19.0772 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |     66
     77 | 2017:03:09 - 20:41:19.0802 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3981 |                           208.85.40.144 |                                     443 |    292
     78 | 2017:03:09 - 20:41:19.0822 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3980 |    215
     79 | 2017:03:09 - 20:41:19.0852 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |    129
     80 | 2017:03:09 - 20:41:19.0872 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |   1506
     81 | 2017:03:09 - 20:41:19.0902 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |   1506
     82 | 2017:03:09 - 20:41:19.0932 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3982 |     66
     83 | 2017:03:09 - 20:41:20.0942 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |     54
     84 | 2017:03:09 - 20:41:20.0972 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |    292
     85 | 2017:03:09 - 20:41:20.0992 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3981 |    215
     86 | 2017:03:09 - 20:41:20.1012 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3981 |                           208.85.40.144 |                                     443 |    129
     87 | 2017:03:09 - 20:41:20.1032 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3981 |                           208.85.40.144 |                                     443 |   1099
     88 | 2017:03:09 - 20:41:20.1062 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3980 |     60
     89 | 2017:03:09 - 20:41:20.1082 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |    451
     90 | 2017:03:09 - 20:41:20.1122 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3982 |    215
     91 | 2017:03:09 - 20:41:20.1152 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3981 |     60
     92 | 2017:03:09 - 20:41:20.1172 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |    129
     93 | 2017:03:09 - 20:41:20.1202 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3981 |    411
     94 | 2017:03:09 - 20:41:20.1222 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3980 |     60
     95 | 2017:03:09 - 20:41:20.1242 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |     54
     96 | 2017:03:09 - 20:41:20.1262 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3980 |    411
     97 | 2017:03:09 - 20:41:20.1292 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3982 |     60
     98 | 2017:03:09 - 20:41:20.1312 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3981 |                           208.85.40.144 |                                     443 |     54
     99 | 2017:03:09 - 20:41:20.1332 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |     54
    100 | 2017:03:09 - 20:41:20.1362 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3980 |    411
    101 | 2017:03:09 - 20:41:20.1382 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3980 |                           208.85.40.144 |                                     443 |     66
    102 | 2017:03:09 - 20:41:20.1412 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
    103 | 2017:03:09 - 20:41:20.1432 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3979 |    680
    104 | 2017:03:09 - 20:41:20.1452 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3979 |                            208.85.40.50 |                                     443 |     66
    105 | 2017:03:09 - 20:41:23.1464 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
    106 | 2017:03:09 - 20:41:25.1865 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |    107
    107 | 2017:03:09 - 20:41:25.1885 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |     54
    108 | 2017:03:09 - 20:41:25.1915 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3982 |     60
    109 | 2017:03:09 - 20:41:25.1935 |   IPv4 |    TCP | Secure TCP |                           208.85.40.144 |                                     443 |                            192.168.1.20 |                                    3982 |     54
    110 | 2017:03:09 - 20:41:25.1955 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3982 |                           208.85.40.144 |                                     443 |     54
      1 | 2017:03:09 - 20:45:18.9779 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      2 | 2017:03:09 - 20:45:18.9819 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      3 | 2017:03:09 - 20:45:18.9859 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      4 | 2017:03:09 - 20:45:18.9909 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
      5 | 2017:03:09 - 20:45:18.9949 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |     66
      6 | 2017:03:09 - 20:45:18.9989 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   55864 |                             192.168.1.1 |                                      53 |     75
      7 | 2017:03:09 - 20:45:19.0069 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   55864 |    107
      8 | 2017:03:09 - 20:45:19.0109 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   58593 |                             192.168.1.1 |                                      53 |     75
      9 | 2017:03:09 - 20:45:19.0159 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   58593 |    107
     10 | 2017:03:09 - 20:45:19.0209 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     62
     11 | 2017:03:09 - 20:45:19.0249 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |     54
     12 | 2017:03:09 - 20:45:19.0299 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |    290
     13 | 2017:03:09 - 20:45:19.0349 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     54
     14 | 2017:03:09 - 20:45:19.0399 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |    219
     15 | 2017:03:09 - 20:45:19.0439 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |    129
     16 | 2017:03:09 - 20:45:19.0499 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |   1506
     17 | 2017:03:09 - 20:45:19.0559 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |   1506
     18 | 2017:03:09 - 20:45:19.0599 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     60
     19 | 2017:03:09 - 20:45:19.0649 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     60
     20 | 2017:03:09 - 20:45:19.0709 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     60
     21 | 2017:03:09 - 20:45:19.0759 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |   1506
     22 | 2017:03:09 - 20:45:19.0799 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |   1506
     23 | 2017:03:09 - 20:45:19.0849 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    3996 |                            208.85.40.50 |                                     443 |    747
     24 | 2017:03:09 - 20:45:19.0899 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     60
     25 | 2017:03:09 - 20:45:19.0949 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |     60
     26 | 2017:03:09 - 20:45:19.0999 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    3996 |    667
