No.     | Time                       | NetPtc | Tran P | App Portoc | Source IP                               | Source Port                             | Destation IP                            | Destation Port                          | Length
   1380 | 2017:03:09 - 21:00:55.2454 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1381 | 2017:03:09 - 21:00:55.2454 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1382 | 2017:03:09 - 21:00:55.2464 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1383 | 2017:03:09 - 21:00:55.2474 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1384 | 2017:03:09 - 21:00:55.2484 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |   1487
   1385 | 2017:03:09 - 21:00:55.2494 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1386 | 2017:03:09 - 21:00:55.2504 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1387 | 2017:03:09 - 21:00:55.2514 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
   1388 | 2017:03:09 - 21:00:55.2524 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1389 | 2017:03:09 - 21:00:55.2524 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4156 |                            208.85.40.50 |                                     443 |    129
   1390 | 2017:03:09 - 21:00:55.2534 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4156 |                            208.85.40.50 |                                     443 |   1506
   1391 | 2017:03:09 - 21:00:55.2544 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4156 |                            208.85.40.50 |                                     443 |    527
   1392 | 2017:03:09 - 21:00:55.2554 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1393 | 2017:03:09 - 21:00:55.2564 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |   1484
   1394 | 2017:03:09 - 21:00:55.2574 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     54
   1395 | 2017:03:09 - 21:00:55.2584 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     54
   1396 | 2017:03:09 - 21:00:55.2594 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4154 |    107
   1397 | 2017:03:09 - 21:00:55.2594 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4156 |                            208.85.40.50 |                                     443 |     54
   1398 | 2017:03:09 - 21:00:55.2604 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4156 |    107
   1399 | 2017:03:09 - 21:00:55.2614 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4155 |                            208.85.42.21 |                                     443 |     85
   1400 | 2017:03:09 - 21:00:55.2624 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4154 |                            208.85.40.50 |                                     443 |     54
   1401 | 2017:03:09 - 21:00:55.2634 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |     66
   1402 | 2017:03:09 - 21:00:55.2644 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4156 |                            208.85.40.50 |                                     443 |     54
   1403 | 2017:03:09 - 21:00:55.2654 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
   1404 | 2017:03:09 - 21:00:55.2664 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
   1405 | 2017:03:09 - 21:00:57.2676 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
   1406 | 2017:03:09 - 21:00:58.3616 |    ARP |    ARP |        ARP |                       00:1B:2F:C7:02:01 |                            192.168.1.20 |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |     42
   1407 | 2017:03:09 - 21:00:58.3656 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                       00:1B:2F:C7:02:01 |                            192.168.1.20 |     42
   1408 | 2017:03:09 - 21:00:58.3676 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4157 |                          173.193.194.73 |                                      80 |     66
   1409 | 2017:03:09 - 21:00:59.4337 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4157 |     58
   1410 | 2017:03:09 - 21:00:59.4347 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4157 |                          173.193.194.73 |                                      80 |     54
   1411 | 2017:03:09 - 21:00:59.4357 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4157 |                          173.193.194.73 |                                      80 |    888
   1412 | 2017:03:09 - 21:00:59.4367 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4157 |                          173.193.194.73 |                                      80 |    888
   1413 | 2017:03:09 - 21:00:59.4377 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4157 |     54
   1414 | 2017:03:09 - 21:00:59.4387 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4157 |    679
   1415 | 2017:03:09 - 21:00:59.4387 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4157 |                          173.193.194.73 |                                      80 |     54
   1416 | 2017:03:09 - 21:00:59.4397 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4157 |     54
   1417 | 2017:03:09 - 21:00:59.4407 |   IPv4 |    TCP |       HTTP |                            192.168.1.20 |                                    4157 |                          173.193.194.73 |                                      80 |     54
   1418 | 2017:03:09 - 21:00:59.4417 |   IPv4 |    TCP |       HTTP |                          173.193.194.73 |                                      80 |                            192.168.1.20 |                                    4157 |     60
   1419 | 2017:03:09 - 21:01:00.4427 |   IPv4 |    TCP | Secure TCP |                            208.85.42.21 |                                     443 |                            192.168.1.20 |                                    4155 |     54
   1420 | 2017:03:09 - 21:01:00.4437 |   IPv6 |    UDP |       SSDP |               fe80::99e8:64fb:c7e1:bceb |                                   60039 |                                 ff02::c |                                    1900 |    208
   1421 | 2017:03:09 - 21:01:00.4447 |   IPv4 |    TCP |        TCP |                            192.168.1.20 |                                    1371 |                          125.209.217.17 |                                    5223 |    107
   1422 | 2017:03:09 - 21:01:00.4457 |   IPv4 |    TCP |        TCP |                          125.209.217.17 |                                    5223 |                            192.168.1.20 |                                    1371 |    123
   1423 | 2017:03:09 - 21:01:00.4457 |   IPv4 |    TCP |        TCP |                            192.168.1.20 |                                    1371 |                          125.209.217.17 |                                    5223 |     54
   1424 | 2017:03:09 - 21:01:01.4468 |   IPv4 |    UDP |       DHCP |                            192.168.1.20 |                                      68 |                         255.255.255.255 |                                      67 |    342
