    107 | 2017:03:09 - 20:53:33.3182 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4020 |                            208.85.40.50 |                                     443 |     54
    108 | 2017:03:09 - 20:53:33.3192 |   IPv4 |    TCP | Secure TCP |                            208.85.40.50 |                                     443 |                            192.168.1.20 |                                    4020 |    332
    109 | 2017:03:09 - 20:53:33.3202 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4021 |                            208.85.44.31 |                                     443 |     66
    110 | 2017:03:09 - 20:53:33.3212 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   61678 |                             192.168.1.1 |                                      53 |     99
    111 | 2017:03:09 - 20:53:33.3222 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   49233 |                             192.168.1.1 |                                      53 |     99
    112 | 2017:03:09 - 20:53:33.3232 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   61678 |    115
    113 | 2017:03:09 - 20:53:33.3252 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   51771 |                             192.168.1.1 |                                      53 |     99
    114 | 2017:03:09 - 20:53:33.3262 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   53564 |                             192.168.1.1 |                                      53 |     99
    115 | 2017:03:09 - 20:53:33.3272 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   49233 |    115
    116 | 2017:03:09 - 20:53:33.3282 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     66
    117 | 2017:03:09 - 20:53:33.3292 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   50301 |                             192.168.1.1 |                                      53 |     99
    118 | 2017:03:09 - 20:53:33.3302 |    ARP |    ARP |        ARP |                       84:1B:5E:EC:03:04 |                             192.168.1.1 |                               Broadcast |                            192.168.1.14 |     42
    119 | 2017:03:09 - 20:53:33.3302 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   51771 |    115
    120 | 2017:03:09 - 20:53:33.3312 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4023 |                            208.85.44.32 |                                     443 |     66
    121 | 2017:03:09 - 20:53:33.3322 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   53564 |    115
    122 | 2017:03:09 - 20:53:33.3332 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   52080 |                             192.168.1.1 |                                      53 |     99
    123 | 2017:03:09 - 20:53:33.3342 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   50301 |    115
    124 | 2017:03:09 - 20:53:33.3352 |   IPv4 |    UDP |        DNS |                            192.168.1.20 |                                   51773 |                             192.168.1.1 |                                      53 |     99
    125 | 2017:03:09 - 20:53:33.3362 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   52080 |    127
    126 | 2017:03:09 - 20:53:33.3892 |   IPv4 |    UDP |        DNS |                             192.168.1.1 |                                      53 |                            192.168.1.20 |                                   51773 |    127
    127 | 2017:03:09 - 20:53:33.3902 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |     66
    128 | 2017:03:09 - 20:53:33.3912 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |     54
    129 | 2017:03:09 - 20:53:33.3922 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4022 |                            208.85.42.31 |                                     443 |    314
    130 | 2017:03:09 - 20:53:33.3932 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4024 |                            208.85.44.31 |                                     443 |     66
    131 | 2017:03:09 - 20:53:33.3942 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4025 |                            208.85.44.32 |                                     443 |     66
    132 | 2017:03:09 - 20:53:33.3952 |   IPv4 |    TCP | Secure TCP |                            208.85.44.31 |                                     443 |                            192.168.1.20 |                                    4021 |     66
    133 | 2017:03:09 - 20:53:33.3962 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4021 |                            208.85.44.31 |                                     443 |     54
    134 | 2017:03:09 - 20:53:33.3972 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4021 |                            208.85.44.31 |                                     443 |    314
    135 | 2017:03:09 - 20:53:33.3982 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |     54
    136 | 2017:03:09 - 20:53:33.3992 |   IPv4 |    TCP | Secure TCP |                            208.85.44.32 |                                     443 |                            192.168.1.20 |                                    4023 |     66
    137 | 2017:03:09 - 20:53:33.4002 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4023 |                            208.85.44.32 |                                     443 |     54
    138 | 2017:03:09 - 20:53:33.4012 |   IPv4 |    TCP | Secure TCP |                            192.168.1.20 |                                    4023 |                            208.85.44.32 |                                     443 |    314
    139 | 2017:03:09 - 20:53:33.4022 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
    140 | 2017:03:09 - 20:53:33.4032 |   IPv4 |    TCP | Secure TCP |                            208.85.42.31 |                                     443 |                            192.168.1.20 |                                    4022 |   1484
